Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,File Path,Open Finder
EZZF8K2T,journalArticle,1986,"Abbott, M.B.; Bathurst, J.C.; Cunge, J.A.; O'Connell, P.E.; Rasmussen, J.","An introduction to the European Hydrological System — Systeme Hydrologique Europeen, “SHE”, 1: History and philosophy of a physically-based, distributed modelling system",Journal of Hydrology,,00221694,10.1016/0022-1694(86)90114-9,https://linkinghub.elsevier.com/retrieve/pii/0022169486901149,,1986-10,2023-03-16 17:52:26,2023-04-06 23:02:44,2023-04-06 23:00:30,45-59,,1-2,87,,Journal of Hydrology,"An introduction to the European Hydrological System — Systeme Hydrologique Europeen, “SHE”, 1",,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BSELC8PB\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022929207&doi=10.1016%2f0022-1694%2886%2990114-9&partnerID=40&md5=615d453a4d791c8f47005e2a746fc87a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BSELC8PB\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BSELC8PB\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf';
ZDSJEMHG,journalArticle,1986,"Abbott, M.B.; Bathurst, J.C.; Cunge, J.A.; O'Connell, P.E.; Rasmussen, J.","An introduction to the European Hydrological System — Systeme Hydrologique Europeen, “SHE”, 2: Structure of a physically-based, distributed modelling system",Journal of Hydrology,,00221694,10.1016/0022-1694(86)90115-0,https://linkinghub.elsevier.com/retrieve/pii/0022169486901150,,1986-10,2023-03-16 17:52:26,2023-04-06 23:02:47,2023-04-06 23:00:32,61-77,,1-2,87,,Journal of Hydrology,"An introduction to the European Hydrological System — Systeme Hydrologique Europeen, “SHE”, 2",,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\A5I945HX\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022929205&doi=10.1016%2f0022-1694%2886%2990115-0&partnerID=40&md5=8d34a2453327a8cde15c65b0f0f326ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\A5I945HX\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\A5I945HX\Abbott et al. - 1986 - An introduction to the European Hydrological Syste.pdf';
WCMKML64,journalArticle,2017,"Abou Rjeily, Yves; Abbas, Oras; Sadek, Marwan; Shahrour, Isam; Hage Chehade, Fadi",Flood forecasting within urban drainage systems using NARX neural network,Water Science and Technology,,"0273-1223, 1996-9732",10.2166/wst.2017.409,https://iwaponline.com/wst/article/76/9/2401/38315/Flood-forecasting-within-urban-drainage-systems,"Abstract             Urbanization activity and climate change increase the runoff volumes, and consequently the surcharge of the urban drainage systems (UDS). In addition, age and structural failures of these utilities limit their capacities, and thus generate hydraulic operation shortages, leading to flooding events. The large increase in floods within urban areas requires rapid actions from the UDS operators. The proactivity in taking the appropriate actions is a key element in applying efficient management and flood mitigation. Therefore, this work focuses on developing a flooding forecast system (FFS), able to alert in advance the UDS managers for possible flooding. For a forecasted storm event, a quick estimation of the water depth variation within critical manholes allows a reliable evaluation of the flood risk. The Nonlinear Auto Regressive with eXogenous inputs (NARX) neural network was chosen to develop the FFS as due to its calculation nature it is capable of relating water depth variation in manholes to rainfall intensities. The campus of the University of Lille is used as an experimental site to test and evaluate the FFS proposed in this paper.",2017-11-16,2023-03-16 17:52:33,2023-04-06 23:02:50,2023-04-06 23:01:03,2401-2412,,9,76,,,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034637842&doi=10.2166%2fwst.2017.409&partnerID=40&md5=8a6056c5d716e72d71b42ff22062d464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF4KHPRV,journalArticle,2001,"Abulohom, M.S.; Shah, S.M.S.; Ghumman, A.R.","Development of a rainfall-runoff model, its calibration and validation",Water Resources Management,,,10.1023/A:1013069709740,,In this study a rainfall-runoff model was developed based on water balance equations. Input to the model is precipitation and potential evapotranspiration (both on monthly basis). Output from the model is the simulated runoff at the watershed outlet. Five parameters were adopted for description of the characteristics of drainage area. These parameters are estimated using the Downhill Simplex Method. The model was calibrated and tested for four watersheds. Statistical results showed that the model preformed well. The correlation co-efficient between the simulated and measured data was on the range of 77% to 93%.,2001,2023-04-06 23:54:59,2023-04-06 23:54:59,,149-163,,3,15,,,,,,,,,,,,,Scopus,,Scopus,,,,"C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\5YIFQQML\Abulohom et al. - 2001 - Development of a rainfall-runoff model, its calibr.pdf; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\6J4YAHVT\results.html",,,Rainfall-runoff; Water balance; Watershed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\5YIFQQML\Abulohom et al. - 2001 - Development of a rainfall-runoff model, its calibr.pdf';","Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\5YIFQQML\Abulohom et al. - 2001 - Development of a rainfall-runoff model, its calibr.pdf';"
APCIBGET,journalArticle,1986,"Adams, Barry J.; Fraser, Hugh G.; Howard, Charles D. D.; Sami Hanafy, M.",Meteorological Data Analysis for Drainage System Design,Journal of Environmental Engineering,,"0733-9372, 1943-7870",10.1061/(ASCE)0733-9372(1986)112:5(827),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9372%281986%29112%3A5%28827%29,,1986-10,2023-03-16 17:52:26,2023-04-06 23:02:54,2023-04-06 23:00:30,827-848,,5,112,,J. Environ. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7627JF92\Adams et al. - 1986 - Meteorological data analysis for drainage system d.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022929095&doi=10.1061%2f%28ASCE%290733-9372%281986%29112%3a5%28827%29&partnerID=40&md5=e6461bf6c62ff2ac285e0ab743fcdaae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7627JF92\Adams et al. - 1986 - Meteorological data analysis for drainage system d.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7627JF92\Adams et al. - 1986 - Meteorological data analysis for drainage system d.pdf';
ASQA8KBC,journalArticle,2012,"Adams, Russell; Western, Andrew W.; Seed, Alan W.",An analysis of the impact of spatial variability in rainfall on runoff and sediment predictions from a distributed model: RAINFALL EFFECTS ON RUNOFF AND SEDIMENT,Hydrological Processes,,08856087,10.1002/hyp.8435,https://onlinelibrary.wiley.com/doi/10.1002/hyp.8435,,2012-10-15,2023-03-16 17:52:26,2023-04-06 23:02:57,2023-04-06 23:00:31,3263-3280,,21,26,,Hydrol. Process.,An analysis of the impact of spatial variability in rainfall on runoff and sediment predictions from a distributed model,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866422574&doi=10.1002%2fhyp.8435&partnerID=40&md5=5f779ae03d77866983d3ba0a0c25bd68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDF76Z64,journalArticle,2010,"AghaKouchak, A.; Habib, E.; Bárdossy, A.",Modeling Radar Rainfall Estimation Uncertainties: Random Error Model,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)HE.1943-5584.0000185,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0000185,,2010-04,2023-03-16 17:52:26,2023-04-06 23:02:58,2023-04-06 23:00:29,265-274,,4,15,,J. Hydrol. Eng.,Modeling Radar Rainfall Estimation Uncertainties,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\Z64JYCZL\AghaKouchak et al. - 2010 - Modeling radar rainfall estimation uncertainties .pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953454573&doi=10.1061%2f%28ASCE%29HE.1943-5584.0000185&partnerID=40&md5=8e48bedf90deb81ab29b6930ee862f17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\Z64JYCZL\AghaKouchak et al. - 2010 - Modeling radar rainfall estimation uncertainties .pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\Z64JYCZL\AghaKouchak et al. - 2010 - Modeling radar rainfall estimation uncertainties .pdf';
36472GF4,journalArticle,2017,"Ahmed, Kamal; Chung, Eun-Sung; Song, Jae-Yeol; Shahid, Shamsuddin",Effective Design and Planning Specification of Low Impact Development Practices Using Water Management Analysis Module (WMAM): Case of Malaysia,Water,,2073-4441,10.3390/w9030173,http://www.mdpi.com/2073-4441/9/3/173,,2017-02-28,2023-03-16 17:52:26,2023-04-06 23:03:00,2023-04-06 23:00:30,173,,3,9,,Water,Effective Design and Planning Specification of Low Impact Development Practices Using Water Management Analysis Module (WMAM),,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PDSZHSNP\Ahmed et al. - 2017 - Effective Design and Planning Specification of Low.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014950054&doi=10.3390%2fw9030173&partnerID=40&md5=07327ddb48f0c7574984cd7aa3b64bfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PDSZHSNP\Ahmed et al. - 2017 - Effective Design and Planning Specification of Low.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PDSZHSNP\Ahmed et al. - 2017 - Effective Design and Planning Specification of Low.pdf';
VJ9KD3I5,journalArticle,2018,"Antonetti, Manuel; Zappa, Massimiliano",How can expert knowledge increase the realism of conceptual hydrological models? A case study based on the concept of dominant runoff process in the Swiss Pre-Alps,Hydrology and Earth System Sciences,,,,,,2018,2023-03-16 17:52:26,2023-03-16 17:52:26,,4425-4447,,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z5KL5LHX,journalArticle,2002,"Arnaud, Patrick; Bouvier, Christophe; Cisneros, Leonardo; Dominguez, Ramon",Influence of rainfall spatial variability on flood prediction,Journal of Hydrology,,00221694,10.1016/S0022-1694(01)00611-4,https://linkinghub.elsevier.com/retrieve/pii/S0022169401006114,,2002-03,2023-03-16 17:52:26,2023-04-06 23:04:23,2023-04-06 23:00:30,216-230,,1-4,260,,Journal of Hydrology,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XQCYYVS3\Arnaud et al. - 2002 - Influence of rainfall spatial variability on flood.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037087347&doi=10.1016%2fS0022-1694%2801%2900611-4&partnerID=40&md5=2e4417840efe12b16e45debc84584992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XQCYYVS3\Arnaud et al. - 2002 - Influence of rainfall spatial variability on flood.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\XQCYYVS3\Arnaud et al. - 2002 - Influence of rainfall spatial variability on flood.pdf';
